panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,3.388590604026846,69,138,24.55500437700613
5b,3.388590604026846,138,276,12.277502188503066
5b,3.388590604026846,230,460,7.366501313101838
5b,3.388590604026846,320,640,5.294672818791947
5b,3.4214765100671145,69,138,24.793308043964597
5b,3.4214765100671145,138,276,12.396654021982298
5b,3.4214765100671145,230,460,7.437992413189379
5b,3.4214765100671145,320,640,5.346057046979866
5b,3.4543624161073834,69,138,25.031611710923066
5b,3.4543624161073834,138,276,12.515805855461533
5b,3.4543624161073834,230,460,7.50948351327692
5b,3.4543624161073834,320,640,5.397441275167786
5b,3.487248322147652,69,138,25.269915377881535
5b,3.487248322147652,138,276,12.634957688940768
5b,3.487248322147652,230,460,7.58097461336446
5b,3.487248322147652,320,640,5.448825503355706
5b,3.52013422818792,69,138,25.50821904484
5b,3.52013422818792,138,276,12.75410952242
5b,3.52013422818792,230,460,7.652465713452
5b,3.52013422818792,320,640,5.500209731543625
5b,3.5530201342281886,69,138,25.74652271179847
5b,3.5530201342281886,138,276,12.873261355899235
5b,3.5530201342281886,230,460,7.72395681353954
5b,3.5530201342281886,320,640,5.5515939597315445
5b,3.585906040268457,69,138,25.984826378756935
5b,3.585906040268457,138,276,12.992413189378468
5b,3.585906040268457,230,460,7.79544791362708
5b,3.585906040268457,320,640,5.602978187919464
5b,3.6187919463087255,69,138,26.2231300457154
5b,3.6187919463087255,138,276,13.1115650228577
5b,3.6187919463087255,230,460,7.86693901371462
5b,3.6187919463087255,320,640,5.654362416107383
5b,3.651677852348994,69,138,26.46143371267387
5b,3.651677852348994,138,276,13.230716856336935
5b,3.651677852348994,230,460,7.93843011380216
5b,3.651677852348994,320,640,5.705746644295303
5b,3.6845637583892623,69,138,26.699737379632335
5b,3.6845637583892623,138,276,13.349868689816168
5b,3.6845637583892623,230,460,8.009921213889701
5b,3.6845637583892623,320,640,5.757130872483223
5b,3.7174496644295307,69,138,26.938041046590804
5b,3.7174496644295307,138,276,13.469020523295402
5b,3.7174496644295307,230,460,8.081412313977241
5b,3.7174496644295307,320,640,5.8085151006711415
5b,3.750335570469799,69,138,27.176344713549266
5b,3.750335570469799,138,276,13.588172356774633
5b,3.750335570469799,230,460,8.152903414064781
5b,3.750335570469799,320,640,5.859899328859061
5b,3.7832214765100676,69,138,27.414648380507735
5b,3.7832214765100676,138,276,13.707324190253868
5b,3.7832214765100676,230,460,8.22439451415232
5b,3.7832214765100676,320,640,5.91128355704698
5b,3.8161073825503364,69,138,27.652952047466204
5b,3.8161073825503364,138,276,13.826476023733102
5b,3.8161073825503364,230,460,8.295885614239861
5b,3.8161073825503364,320,640,5.9626677852349
5b,3.848993288590605,69,138,27.89125571442467
5b,3.848993288590605,138,276,13.945627857212335
5b,3.848993288590605,230,460,8.367376714327401
5b,3.848993288590605,320,640,6.01405201342282
5b,3.8818791946308733,69,138,28.12955938138314
5b,3.8818791946308733,138,276,14.06477969069157
5b,3.8818791946308733,230,460,8.438867814414941
5b,3.8818791946308733,320,640,6.0654362416107395
5b,3.9147651006711417,69,138,28.367863048341604
5b,3.9147651006711417,138,276,14.183931524170802
5b,3.9147651006711417,230,460,8.510358914502481
5b,3.9147651006711417,320,640,6.116820469798658
5b,3.94765100671141,69,138,28.606166715300073
5b,3.94765100671141,138,276,14.303083357650037
5b,3.94765100671141,230,460,8.581850014590021
5b,3.94765100671141,320,640,6.168204697986578
5b,3.9805369127516785,69,138,28.84447038225854
5b,3.9805369127516785,138,276,14.42223519112927
5b,3.9805369127516785,230,460,8.653341114677561
5b,3.9805369127516785,320,640,6.219588926174498
5b,4.0134228187919465,69,138,29.082774049217
5b,4.0134228187919465,138,276,14.5413870246085
5b,4.0134228187919465,230,460,8.724832214765101
5b,4.0134228187919465,320,640,6.270973154362417
5b,4.046308724832215,69,138,29.321077716175473
5b,4.046308724832215,138,276,14.660538858087737
5b,4.046308724832215,230,460,8.796323314852641
5b,4.046308724832215,320,640,6.3223573825503365
5b,4.079194630872483,69,138,29.559381383133935
5b,4.079194630872483,138,276,14.779690691566968
5b,4.079194630872483,230,460,8.867814414940181
5b,4.079194630872483,320,640,6.373741610738255
5b,4.112080536912752,69,138,29.797685050092408
5b,4.112080536912752,138,276,14.898842525046204
5b,4.112080536912752,230,460,8.939305515027721
5b,4.112080536912752,320,640,6.425125838926176
5b,4.14496644295302,69,138,30.03598871705087
5b,4.14496644295302,138,276,15.017994358525435
5b,4.14496644295302,230,460,9.010796615115261
5b,4.14496644295302,320,640,6.476510067114093
5b,4.177852348993289,69,138,30.27429238400934
5b,4.177852348993289,138,276,15.13714619200467
5b,4.177852348993289,230,460,9.082287715202801
5b,4.177852348993289,320,640,6.527894295302014
5b,4.210738255033557,69,138,30.512596050967804
5b,4.210738255033557,138,276,15.256298025483902
5b,4.210738255033557,230,460,9.153778815290341
5b,4.210738255033557,320,640,6.579278523489933
5b,4.243624161073826,69,138,30.750899717926274
5b,4.243624161073826,138,276,15.375449858963137
5b,4.243624161073826,230,460,9.225269915377883
5b,4.243624161073826,320,640,6.6306627516778525
5b,4.276510067114094,69,138,30.98920338488474
5b,4.276510067114094,138,276,15.49460169244237
5b,4.276510067114094,230,460,9.296761015465421
5b,4.276510067114094,320,640,6.682046979865771
5b,4.309395973154363,69,138,31.227507051843208
5b,4.309395973154363,138,276,15.613753525921604
5b,4.309395973154363,230,460,9.368252115552963
5b,4.309395973154363,320,640,6.733431208053692
5b,4.342281879194632,69,138,31.465810718801677
5b,4.342281879194632,138,276,15.732905359400839
5b,4.342281879194632,230,460,9.439743215640503
5b,4.342281879194632,320,640,6.784815436241612
5b,4.3751677852349,69,138,31.704114385760143
5b,4.3751677852349,138,276,15.852057192880071
5b,4.3751677852349,230,460,9.511234315728043
5b,4.3751677852349,320,640,6.836199664429531
5b,4.408053691275168,69,138,31.94241805271861
5b,4.408053691275168,138,276,15.971209026359306
5b,4.408053691275168,230,460,9.582725415815583
5b,4.408053691275168,320,640,6.887583892617451
5b,4.440939597315436,69,138,32.180721719677074
5b,4.440939597315436,138,276,16.090360859838537
5b,4.440939597315436,230,460,9.654216515903123
5b,4.440939597315436,320,640,6.938968120805369
5b,4.473825503355705,69,138,32.419025386635546
5b,4.473825503355705,138,276,16.209512693317773
5b,4.473825503355705,230,460,9.725707615990663
5b,4.473825503355705,320,640,6.99035234899329
5b,4.506711409395973,69,138,32.65732905359401
5b,4.506711409395973,138,276,16.328664526797006
5b,4.506711409395973,230,460,9.797198716078203
5b,4.506711409395973,320,640,7.041736577181208
5b,4.539597315436242,69,138,32.89563272055248
5b,4.539597315436242,138,276,16.44781636027624
5b,4.539597315436242,230,460,9.868689816165745
5b,4.539597315436242,320,640,7.093120805369128
5b,4.57248322147651,69,138,33.13393638751094
5b,4.57248322147651,138,276,16.56696819375547
5b,4.57248322147651,230,460,9.940180916253283
5b,4.57248322147651,320,640,7.144505033557047
5b,4.605369127516779,69,138,33.37224005446941
5b,4.605369127516779,138,276,16.686120027234704
5b,4.605369127516779,230,460,10.011672016340825
5b,4.605369127516779,320,640,7.195889261744967
5b,4.638255033557047,69,138,33.61054372142788
5b,4.638255033557047,138,276,16.80527186071394
5b,4.638255033557047,230,460,10.083163116428363
5b,4.638255033557047,320,640,7.247273489932886
5b,4.671140939597316,69,138,33.848847388386346
5b,4.671140939597316,138,276,16.924423694193173
5b,4.671140939597316,230,460,10.154654216515905
5b,4.671140939597316,320,640,7.298657718120806
5b,4.704026845637585,69,138,34.08715105534482
5b,4.704026845637585,138,276,17.04357552767241
5b,4.704026845637585,230,460,10.226145316603445
5b,4.704026845637585,320,640,7.3500419463087265
5b,4.736912751677853,69,138,34.32545472230328
5b,4.736912751677853,138,276,17.16272736115164
5b,4.736912751677853,230,460,10.297636416690985
5b,4.736912751677853,320,640,7.4014261744966445
5b,4.7697986577181215,69,138,34.56375838926175
5b,4.7697986577181215,138,276,17.281879194630875
5b,4.7697986577181215,230,460,10.369127516778525
5b,4.7697986577181215,320,640,7.452810402684565
5b,4.8026845637583895,69,138,34.802062056220215
5b,4.8026845637583895,138,276,17.401031028110108
5b,4.8026845637583895,230,460,10.440618616866065
5b,4.8026845637583895,320,640,7.504194630872484
5b,4.835570469798658,69,138,35.04036572317869
5b,4.835570469798658,138,276,17.520182861589344
5b,4.835570469798658,230,460,10.512109716953606
5b,4.835570469798658,320,640,7.555578859060403
