scenario,run,h,vh_pct
Traditional AC,26,31,0.08320342302616666
Traditional AC,27,5,0.3824927037503039
Traditional AC,27,7,0.6362629349540603
Traditional AC,27,11,1.2800450690250493
Traditional AC,27,13,0.9515592747193565
Traditional AC,27,17,0.3880441064807521
Traditional AC,27,19,0.30757923559446126
Traditional AC,27,23,0.5897103698527132
Traditional AC,27,25,0.46018424454205387
Traditional AC,27,29,0.12888606494481591
Traditional AC,27,31,0.17626867496387758
Traditional AC,28,5,1.2536914422730618
Traditional AC,28,7,0.6284646466011935
Traditional AC,28,11,1.1420062220925147
Traditional AC,28,13,0.23240003171429854
Traditional AC,28,17,0.6635190552560389
Traditional AC,28,19,0.4699387111341532
Traditional AC,28,23,0.6043081088875952
Traditional AC,28,25,0.3796852804244932
Traditional AC,28,29,0.1912749153132982
Traditional AC,28,31,0.31922069917308166
Traditional AC,29,5,0.2971527200081187
Traditional AC,29,7,0.21564940647806966
Traditional AC,29,11,2.089332665847821
Traditional AC,29,13,2.2496741659415456
Traditional AC,29,17,0.26945957415123806
Traditional AC,29,19,0.1630453420642146
Traditional AC,29,23,0.4540916962738815
Traditional AC,29,25,0.7276539696774456
Traditional AC,29,29,0.06085824424305794
Traditional AC,29,31,0.05025428858522571
Traditional AC,30,5,0.5645822666909462
Traditional AC,30,7,0.12463874229028371
Traditional AC,30,11,0.890033051760866
Traditional AC,30,13,0.7514631333720286
Traditional AC,30,17,0.3659093116853968
Traditional AC,30,19,0.004986429208235823
Traditional AC,30,23,0.7051516001217567
Traditional AC,30,25,0.3959243005410401
Traditional AC,30,29,0.2681945160790396
Traditional AC,30,31,0.12790885257605966
Traditional AC,31,5,0.23315381792214085
Traditional AC,31,7,0.6193582624922787
Traditional AC,31,11,0.8588062957212547
Traditional AC,31,13,0.49805701163381927
Traditional AC,31,17,0.047314026337720916
Traditional AC,31,19,0.14096361228334348
Traditional AC,31,23,0.36749672035024233
Traditional AC,31,25,0.36429745666369806
Traditional AC,31,29,0.18157709586230347
Traditional AC,31,31,0.14562089713162132
Traditional AC,32,5,0.5625559457762657
Traditional AC,32,7,0.4573730915261239
Traditional AC,32,11,2.3502979291528363
Traditional AC,32,13,0.2182367091976915
Traditional AC,32,17,0.5605651385706549
Traditional AC,32,19,0.31598196730540196
Traditional AC,32,23,0.5920302502819533
Traditional AC,32,25,0.8283094634236728
Traditional AC,32,29,0.18447113298974624
Traditional AC,32,31,0.21823543568160517
Traditional AC,33,5,0.2641041998306643
Traditional AC,33,7,0.3442133602047944
Traditional AC,33,11,0.21101325517943606
Traditional AC,33,13,0.3099391271122334
Traditional AC,33,17,0.2741654523462996
Traditional AC,33,19,0.08805630364820013
Traditional AC,33,23,0.4533778942461709
Traditional AC,33,25,0.21757401018675707
Traditional AC,33,29,0.14449618675323075
Traditional AC,33,31,0.12536023972346635
Traditional AC,34,5,0.4877344528966807
Traditional AC,34,7,0.16827968114548325
Traditional AC,34,11,0.9164666353645133
Traditional AC,34,13,0.07656386177809547
Traditional AC,34,17,0.0989364150371886
Traditional AC,34,19,0.42622491105269344
Traditional AC,34,23,0.6706442199601321
Traditional AC,34,25,0.38022961862254134
Traditional AC,34,29,0.21578879844806204
Traditional AC,34,31,0.1424289424497003
Traditional AC,35,5,0.2864636732409656
Traditional AC,35,7,0.3584998984641338
Traditional AC,35,11,0.1822799496920658
Traditional AC,35,13,1.1591448618635376
Traditional AC,35,17,0.2459467332951005
Traditional AC,35,19,0.12374503601514787
Traditional AC,35,23,0.2342587914819742
Traditional AC,35,25,0.34744004081109897
Traditional AC,35,29,0.15345223248900042
Traditional AC,35,31,0.08846172514940005
Traditional AC,36,5,0.3790867971231889
Traditional AC,36,7,1.1187450097041567
Traditional AC,36,11,3.10119160186726
Traditional AC,36,13,3.3840903091454613
Traditional AC,36,17,0.4175287976440181
Traditional AC,36,19,0.4773761587031123
Traditional AC,36,23,0.5512270792992118
Traditional AC,36,25,0.10283894899602761
Traditional AC,36,29,0.21091458485460682
Traditional AC,36,31,0.2836127452234369
Traditional AC,37,5,0.1959110074628019
Traditional AC,37,7,0.14035586553331572
Traditional AC,37,11,2.479360011513479
Traditional AC,37,13,0.3887531706077387
Traditional AC,37,17,0.08561216261789971
Traditional AC,37,19,0.10702738244690119
Traditional AC,37,23,0.7614815477553858
Traditional AC,37,25,0.36146726364187537
Traditional AC,37,29,0.07966678551703231
Traditional AC,37,31,0.23439772835359682
Traditional AC,38,5,0.48306366688509983
Traditional AC,38,7,0.6135654164902011
Traditional AC,38,11,1.3483421636826138
